epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8281,2.6816,4.40917,1.7152,0.35806,0.12992,0.03625,0.01319,2.3929,3.57875,1.42264,2.307e-05,2.307e-05,2.307e-05
2,14.7274,2.55931,4.25293,1.64293,0.48367,0.23632,0.05816,0.02571,2.01266,3.33171,1.18613,5.29418e-05,5.29418e-05,5.29418e-05
3,16.9549,1.60374,3.29409,1.18455,0.12167,0.49943,0.17326,0.12036,1.17857,3.83558,0.94777,8.17985e-05,8.17985e-05,8.17985e-05
4,19.6849,1.23499,2.04168,1.01975,0.2248,0.57098,0.35023,0.25676,1.05339,6.96231,0.89116,0.00010964,0.00010964,0.00010964
5,23.1832,1.04503,1.51085,0.94923,0.22905,0.5941,0.44806,0.34502,0.94414,6.6812,0.85371,0.000136467,0.000136467,0.000136467
6,25.2037,1.03502,1.40038,0.92396,0.40488,0.55279,0.50681,0.4016,0.84697,4.31982,0.82604,0.000162278,0.000162278,0.000162278
7,27.0789,0.94184,1.26024,0.9061,0.51381,0.53524,0.58808,0.46985,0.85228,3.25569,0.82502,0.000187075,0.000187075,0.000187075
8,29.0791,0.84391,1.09728,0.88368,0.64233,0.58581,0.64063,0.52765,0.73073,3.25701,0.79866,0.000210856,0.000210856,0.000210856
9,31.1089,0.80757,0.96867,0.89324,0.66405,0.64258,0.63004,0.52599,0.69854,2.59882,0.79182,0.000233622,0.000233622,0.000233622
10,32.9742,0.7762,0.87186,0.87803,0.93555,0.62775,0.64966,0.54465,0.67651,1.13227,0.78215,0.000255373,0.000255373,0.000255373
11,36.255,0.7705,0.80392,0.87867,0.95467,0.627,0.74001,0.57732,0.87847,1.13122,0.82796,0.000276109,0.000276109,0.000276109
12,38.7688,0.77933,0.76768,0.86873,0.82823,0.76814,0.8247,0.6933,0.64329,0.92037,0.77103,0.00029583,0.00029583,0.00029583
