Timestamp,Frame,RoundValue,Stage,CorrectedBalance,BalanceChange,Outcome,RawBalanceValue,AccumulatedWin
2025-03-29 18:41:00.846868,15,4998,x1,4998.00,0.00,START,499800,0.00
2025-03-29 18:41:02.945787,75,4997,x1,4997.00,-1.00,-1.00,499700,-1.00
2025-03-29 18:41:04.868423,130,4996,x1,4996.00,-1.00,-1.00,499600,-1.00
2025-03-29 18:41:06.619430,180,4995,x1,4995.00,-1.00,-1.00,499500,-1.00
2025-03-29 18:41:08.555361,235,4994,x1,4994.00,-1.00,-1.00,499400,-1.00
2025-03-29 18:41:10.489072,290,4993,x1,4993.00,-1.00,-1.00,499300,-1.00
2025-03-29 18:41:12.587432,350,4992,x1,4992.00,-1.00,-1.00,499200,-1.00
2025-03-29 18:41:18.400421,515,4992,x2,4992.00,0.00,STAGE_CHANGE,499200,-1.00
2025-03-29 18:41:25.983319,730,4992,x1,4991.60,0.00,STAGE_CHANGE,499160,-1.00
2025-03-29 18:41:25.983571,730,499,x1,4991.60,-0.40,-0.40,499160,-0.40
2025-03-29 18:41:31.650610,890,499,x2,4991.60,0.00,STAGE_CHANGE,499160,-0.40
2025-03-29 18:41:36.122498,1015,499,x4,4991.60,0.00,STAGE_CHANGE,499160,-0.40
2025-03-29 18:41:43.403891,1220,499,x1,4990.90,0.00,STAGE_CHANGE,499090,-0.40
2025-03-29 18:41:43.403941,1220,4990,x1,4990.90,-0.70,-0.70,499090,-0.70
2025-03-29 18:41:45.380678,1275,4989,x1,4989.90,-1.00,-1.00,498990,-1.00
2025-03-29 18:41:51.341676,1440,4989,x2,4989.90,0.00,STAGE_CHANGE,498990,-1.00
2025-03-29 18:41:57.902796,1610,4989,x1,4989.30,0.00,STAGE_CHANGE,498930,-1.00
2025-03-29 18:41:57.903071,1610,4988,x1,4989.30,-0.60,-0.60,498930,-0.60
2025-03-29 18:42:00.043638,1665,4987,x1,4988.30,-1.00,-1.00,498830,-1.00
2025-03-29 18:42:06.290139,1825,4987,x2,4988.30,0.00,STAGE_CHANGE,498830,-1.00
2025-03-29 18:42:11.680030,1965,4987,x4,4988.30,0.00,STAGE_CHANGE,498830,-1.00
2025-03-29 18:42:19.251587,2160,4987,x8,4988.30,0.00,STAGE_CHANGE,498830,-1.00
